
0,4.73,8.73,0.70,-1.00,0.58,-0.98,9.32,-0.52,2.00,-1.16,0.55,0.00,5.16,0.00,0.00,0.00
i,d,l,e
1,4.71,8.78,0.71,-0.85,0.03,-0.62,9.30,-0.52,1.99,-1.24,0.43,0.00,5.17,0.00,0.00,0.00
2,4.64,8.78,0.80,-1.11,0.09,-1.02,9.34,-0.59,1.97,-1.11,0.49,0.00,5.16,0.00,0.00,0.00
3,4.68,8.85,0.83,-1.41,0.24,-1.73,9.31,-0.61,1.97,-1.94,0.79,0.00,5.15,0.00,0.00,0.00
4,4.65,8.86,0.78,-1.88,-0.27,-2.20,9.34,-0.60,1.99,-1.32,0.27,0.00,5.16,0.00,0.00,0.00
5,4.73,8.88,0.82,-1.91,-0.84,-2.66,9.28,-0.57,2.06,-1.48,0.69,0.00,5.16,0.00,0.00,0.00
6,4.75,8.78,0.85,-2.17,-0.83,-2.72,9.32,-0.59,2.01,-1.22,0.31,0.00,5.15,0.00,0.00,0.00
7,4.74,8.84,0.72,-2.14,-0.59,-2.46,9.33,-0.61,2.04,-1.37,0.63,0.00,5.16,0.00,0.00,0.00
8,4.83,8.81,0.75,-2.29,-0.36,-2.23,9.36,-0.54,1.87,-0.84,0.17,0.00,5.16,0.00,0.00,0.00
9,4.76,8.84,0.78,-1.93,0.14,-2.31,9.33,-0.53,1.95,-0.49,-0.12,0.00,5.15,0.00,0.00,0.00
10,4.75,8.84,0.76,-2.03,0.41,-2.83,9.33,-0.62,1.99,-1.00,-0.12,0.00,5.15,0.00,0.00,0.00
11,4.83,8.86,0.77,-2.25,0.59,-2.79,9.35,-0.55,2.02,-0.94,0.10,0.00,5.16,0.00,0.00,0.00
12,4.79,8.81,0.78,-2.60,0.50,-3.02,9.33,-0.54,1.95,-1.03,0.11,0.00,5.17,0.00,0.00,0.00
13,4.75,8.77,0.84,-2.91,-0.02,-2.45,9.31,-0.56,1.93,-1.14,-0.12,0.00,5.16,0.00,0.00,0.00
14,4.79,8.80,0.78,-2.89,-0.01,-2.30,9.34,-0.62,1.96,-1.20,0.08,0.00,5.15,0.00,0.00,0.00
15,4.82,8.86,0.70,-2.84,0.32,-2.27,9.34,-0.63,1.90,-0.86,-0.05,0.00,5.15,0.00,0.00,0.00
16,4.76,8.76,0.70,-3.08,0.78,-2.44,9.35,-0.60,2.00,-1.22,-0.04,0.00,5.16,0.00,0.00,0.00
17,4.71,8.82,0.80,-3.01,0.91,-2.52,9.37,-0.59,1.97,-1.18,-0.08,0.00,5.14,0.00,0.00,0.00
18,4.73,8.84,0.68,-3.19,0.62,-2.44,9.27,-0.60,1.96,-1.12,-0.11,0.00,5.15,0.00,0.00,0.00
19,4.79,8.81,0.73,-3.60,0.35,-2.46,9.35,-0.58,1.98,-1.34,-0.20,0.00,5.17,0.00,0.00,0.00
20,4.74,8.82,0.65,-3.60,0.31,-2.59,9.31,-0.58,1.95,-1.07,-0.05,0.00,5.16,0.00,0.00,0.00
21,4.75,8.85,0.67,-3.18,0.81,-2.50,9.30,-0.65,1.93,-1.01,-0.11,0.00,5.15,0.00,0.00,0.00
22,4.74,8.79,0.60,-2.95,0.91,-2.48,9.38,-0.59,1.94,-0.85,-0.14,0.00,5.16,0.00,0.00,0.00
23,4.68,8.83,0.46,-3.03,0.12,-2.51,9.35,-0.56,2.04,-0.76,-0.15,0.00,5.16,0.00,0.00,0.00
24,4.76,8.83,0.60,-2.34,1.22,-2.56,9.32,-0.64,1.87,-0.78,-0.25,0.00,5.17,0.00,0.00,0.00
25,4.75,8.79,0.61,-2.32,1.35,-2.76,9.35,-0.57,1.98,-0.80,-0.27,0.00,5.15,0.00,0.00,0.00
26,4.69,8.82,0.71,-1.88,0.92,-2.53,9.30,-0.58,1.99,-0.85,-0.30,0.00,5.16,0.00,0.00,0.00
27,4.73,8.81,0.67,-1.89,1.07,-2.81,9.30,-0.58,1.88,-0.88,-0.29,0.00,5.16,0.00,0.00,0.00
28,4.74,8.81,0.71,-1.80,0.90,-2.86,9.35,-0.62,1.90,-0.84,-0.15,0.00,5.16,0.00,0.00,0.00
29,4.57,8.90,0.78,-0.97,-2.27,-2.61,9.29,-0.31,2.04,-3.59,0.31,0.00,5.16,0.00,0.00,0.00
0,4.87,8.75,0.71,-1.04,0.99,0.12,9.34,-0.45,2.06,0.40,1.13,0.00,5.16,0.00,0.00,0.00,63
1,4.75,8.79,0.80,-1.03,0.65,0.42,9.38,-0.39,2.05,0.59,1.00,0.00,5.17,0.00,0.00,0.00,63
2,4.75,8.78,0.75,-0.75,0.51,0.35,9.28,-0.43,2.17,0.80,1.26,0.00,5.17,0.00,0.00,0.00,63
3,4.74,8.83,0.71,-0.49,0.64,0.12,9.35,-0.38,2.05,0.64,1.29,0.00,5.12,0.00,0.00,0.00,48
4,4.81,8.82,0.76,0.00,1.31,-0.28,9.24,-0.40,2.16,0.91,1.23,0.00,5.17,0.00,0.00,0.00,54
5,4.70,8.79,0.84,-0.49,1.29,-1.08,9.36,-0.57,2.04,1.17,0.70,0.00,5.16,0.00,0.00,0.00
6,4.74,8.81,0.77,-0.50,1.58,-1.71,9.30,-0.49,2.15,0.92,0.68,0.00,5.16,0.00,0.00,0.00
7,4.81,8.85,0.73,-0.59,1.54,-1.86,9.29,-0.56,2.08,0.66,0.56,0.00,5.17,0.00,0.00,0.00
8,4.79,8.83,0.79,-0.73,1.44,-1.76,9.28,-0.56,2.09,0.82,0.80,0.00,5.16,0.00,0.00,0.00
9,4.75,8.80,0.75,-1.15,0.95,-1.49,9.35,-0.56,2.11,0.23,0.87,0.00,5.16,0.00,0.00,0.00
10,4.84,8.78,0.71,-1.11,1.19,-1.84,9.23,-0.59,2.07,-0.04,0.94,0.00,5.17,0.00,0.00,0.00
11,4.84,8.85,0.65,-1.00,1.46,-1.78,9.33,-0.61,2.08,0.05,1.20,0.00,5.17,0.00,0.00,0.00
12,4.80,8.83,0.78,-1.54,1.21,-2.22,9.31,-0.57,2.08,0.03,1.02,0.00,5.15,0.00,0.00,0.00
13,4.82,8.89,0.66,-1.25,1.56,-2.21,9.31,-0.57,2.07,0.37,0.53,0.00,5.17,0.00,0.00,0.00
14,4.92,8.87,0.71,-1.63,0.97,-2.62,9.29,-0.49,2.16,0.25,0.90,0.00,5.15,0.00,0.00,0.00
15,4.88,8.75,0.74,-1.65,1.32,-1.20,9.29,-0.57,2.06,0.11,0.73,0.00,5.17,0.00,0.00,0.00
16,4.86,8.82,0.87,-1.42,1.71,-1.11,9.25,-0.62,1.97,0.13,0.55,0.00,5.17,0.00,0.00,0.00
17,4.79,8.84,0.80,-1.76,1.63,-1.11,9.32,-0.57,2.06,0.02,1.16,0.00,5.17,0.00,0.00,0.00
18,4.79,8.79,0.73,-2.66,1.02,-1.43,9.29,-0.65,2.05,-0.37,1.44,0.00,5.17,0.00,0.00,0.00
19,4.86,8.76,0.71,-3.35,0.49,-1.40,9.36,-0.56,2.09,-0.17,1.38,0.00,5.17,0.00,0.00,0.00
20,4.90,8.78,0.63,-3.45,0.30,-1.35,9.32,-0.58,2.24,0.05,0.86,0.00,5.15,0.00,0.00,0.00
21,4.79,8.74,0.60,-2.50,2.05,-2.02,9.26,-0.55,2.14,0.21,0.73,0.00,5.16,0.00,0.00,0.00
22,4.91,8.78,0.64,-2.89,2.32,-1.99,9.32,-0.53,2.01,0.34,0.33,0.00,5.13,0.00,0.00,0.00
23,4.84,8.73,0.61,-2.02,1.84,-1.30,9.30,-0.58,2.06,0.37,-0.19,0.00,5.17,0.00,0.00,0.00
24,4.88,8.75,0.59,-1.41,2.34,-1.59,9.30,-0.57,2.09,0.27,-0.27,0.00,5.17,0.00,0.00,0.00
25,4.76,8.80,0.63,-1.44,2.55,-1.91,9.30,-0.64,2.16,0.34,-0.61,0.00,5.16,0.00,0.00,0.00
26,4.76,8.79,0.65,-1.37,2.51,-2.08,9.29,-0.51,2.16,0.62,-0.90,0.00,5.17,0.00,0.00,0.00
27,4.75,8.74,0.69,-0.99,2.61,-2.49,9.28,-0.57,2.09,0.70,-0.73,0.00,5.16,0.00,0.00,0.00
28,4.75,8.74,0.58,-0.96,3.16,-2.75,9.30,-0.59,2.07,0.62,-1.02,0.00,5.10,0.00,0.00,0.00
29,4.75,8.78,0.69,-0.60,3.36,-3.03,9.28,-0.55,2.08,0.69,-0.63,0.00,5.15,0.00,0.00,0.00
0,4.85,8.81,0.83,-0.98,3.04,-3.70,9.25,-0.57,2.11,0.63,-0.43,0.00,5.16,0.00,0.00,0.00
1,4.86,8.78,0.78,-0.86,3.27,-3.88,9.34,-0.51,2.08,0.31,-0.11,0.00,5.17,0.00,0.00,0.00
2,4.96,8.75,0.85,-0.69,3.55,-3.21,9.29,-0.62,1.99,0.43,-0.08,0.00,5.17,0.00,0.00,0.00
