19.62,19.62,-3.63,20.67,43.43,250.13,8.85,-0.04,-0.39,45.1,-8.79,17.68
19.62,17.09,-4.09,11.58,12.63,250.13,7.99,-0.4,-0.62,48.91,-9.4,17.42
18.72,13.66,-5.04,54.13,13.85,250.13,7.49,-0.54,-0.37,54.03,-8.41,15.16
17.53,12.85,-6.8,80.88,1.68,250.13,7.71,-0.53,-0.02,59.18,-2.78,12.92
13.64,10.79,-7.99,92.18,-21.99,250.13,8.02,-0.26,-0.07,65.26,5.34,11.37
12.26,10.09,-9.07,126.63,-90.98,250.13,8.5,-0.18,0.22,69.37,14.77,10.44
11.59,8.35,-9.57,175.47,-124.35,250.13,8.57,-0.34,0.73,70.92,23.93,9.33
10.74,6.89,-8.98,216.89,-93.33,250.13,8.66,-0.64,1.09,68.82,29.03,10.29
11.93,6.66,-8.46,250.13,-32.53,250.13,9.73,-0.25,1.12,62.99,28.1,9.04
11.07,4.66,-7.89,240.79,56.29,250.13,11.59,0.67,0.84,59.69,15.38,7.1
8.93,3.93,-7.7,227.21,95.76,250.13,11.8,0.94,0.92,59.24,-1.53,9.35
5.76,3.07,-7.07,241.63,29.34,250.13,10.83,0.71,2.0,64.22,-10.92,16.36
4.64,1.54,-6.01,198.79,-53.26,250.13,10.28,1.37,2.24,78.43,-14.63,22.07
2.64,0.39,-5.25,199.77,-136.79,250.13,10.1,2.39,2.31,96.69,-15.17,24.72
1.82,-0.15,-2.54,211.62,-182.66,250.13,10.03,3.07,2.41,115.3,-9.66,26.55
1.37,-0.69,0.1,176.02,-183.47,250.13,9.58,2.55,3.13,128.8,0.46,26.84
0.09,-0.68,1.04,109.79,-170.02,246.11,9.89,1.57,3.07,134.82,6.04,25.31
-1.2,-0.5,0.59,52.43,-176.92,222.62,9.98,0.65,2.97,133.8,8.39,20.05
-2.29,-0.03,0.23,13.63,-201.62,199.93,9.27,-0.06,2.6,126.77,10.92,14.57
-3.47,-0.0,0.94,-9.58,-219.47,176.54,8.7,-0.65,2.47,117.93,12.68,11.0
-7.21,-0.36,2.49,-5.5,-216.88,147.55,8.15,-0.69,1.92,110.81,9.6,11.53
-15.38,0.76,4.36,15.05,-247.31,115.47,7.63,-0.84,1.44,101.77,8.8,13.62
-19.62,4.61,8.01,10.05,-247.82,5.05,7.45,-1.68,0.9,85.02,13.02,12.09
-19.62,9.44,13.04,-83.6,-184.37,-218.18,7.66,-2.05,0.74,69.95,17.24,10.24
-19.62,13.52,9.25,-226.12,-106.24,-250.14,8.17,-2.22,0.91,67.1,17.45,9.94
-14.08,19.62,3.21,-214.56,-108.45,-250.14,8.69,-1.44,1.03,58.9,15.88,7.41
-0.75,19.62,-3.68,-203.28,-233.74,-250.14,9.29,-0.69,1.74,50.62,19.38,8.44
19.62,19.62,-13.5,-250.14,-141.08,-250.14,10.48,0.4,2.62,50.74,25.79,6.61
19.62,19.62,-19.62,-250.14,169.87,-250.14,12.01,1.31,3.55,65.37,29.76,-5.82
19.62,9.83,-19.62,-144.65,250.13,83.72,14.39,-0.41,3.67,67.31,15.79,-23.44
19.62,-2.74,-14.37,193.3,-42.63,99.9,12.49,-3.41,2.7,45.4,-12.35,-17.66
19.62,0.74,-9.76,250.13,-235.46,64.42,8.74,-3.46,2.91,34.03,-25.1,4.27
19.62,0.67,-6.78,216.21,-103.38,166.5,7.03,-2.01,2.48,21.92,-22.96,12.41
19.62,-0.35,-3.35,181.37,85.09,236.69,7.84,-0.22,1.92,13.89,-13.47,10.24
15.6,-0.18,-2.59,166.94,207.17,250.13,8.93,1.56,1.38,11.71,-4.05,2.59
8.18,-0.07,-1.33,116.05,198.39,250.13,10.28,2.3,0.56,7.41,-1.04,-4.76
4.0,-1.77,0.53,67.42,172.33,250.13,10.85,2.15,0.94,7.47,-4.24,-8.95
0.91,-2.83,0.71,46.18,133.33,250.13,10.25,1.22,1.31,13.89,-9.25,-7.66
-1.29,-2.32,1.03,19.74,99.97,250.13,9.58,-0.04,1.12,17.27,-14.56,-4.95
-4.56,-2.1,1.41,-4.74,46.87,250.13,9.42,-0.99,0.67,8.04,-15.38,-3.93
-7.23,-2.32,2.29,-6.15,-3.73,250.13,9.61,-1.07,0.83,-6.56,-15.21,-5.4
-12.0,-4.34,4.64,21.09,-40.16,250.13,10.04,-0.8,1.05,-18.63,-20.97,-6.69
-18.07,-6.07,11.54,31.82,23.25,247.77,9.72,-0.64,1.22,-35.0,-21.69,-8.9
-19.62,-4.21,15.41,-47.77,31.46,144.66,8.99,-0.8,0.7,-54.9,-15.02,-9.89
-19.62,0.4,16.7,-116.27,-1.12,-131.51,8.91,-1.25,0.23,-74.27,-11.59,-5.21
-19.62,7.66,14.95,-120.65,-3.12,-250.14,9.17,-1.58,0.44,-85.82,-10.05,1.55
-18.95,19.62,7.37,-92.08,-43.31,-250.14,9.64,-1.07,0.56,-99.01,-8.34,3.83
-2.99,19.62,-3.34,-160.34,-234.32,-250.14,10.14,-0.4,0.41,-112.16,-8.65,1.27
19.62,19.62,-14.36,-250.14,-158.83,-250.14,10.73,0.21,1.45,-117.3,-14.85,-4.79
19.62,19.62,-19.62,-199.17,250.13,-224.15,10.95,0.5,2.08,-106.63,-16.39,-17.76
19.62,11.23,-12.26,46.27,250.13,-37.5,10.12,-0.14,1.71,-104.96,-12.89,-38.95
17.11,11.89,-2.42,250.13,112.81,-40.25,7.8,-2.03,1.46,-124.85,-22.18,-50.45
13.46,11.48,3.13,149.98,-151.52,19.1,6.4,-1.67,2.39,-119.76,-36.9,-34.38
11.21,6.86,4.8,-45.56,-250.14,153.76,6.14,-0.99,2.17,-120.05,-38.1,-15.53
8.47,3.1,3.71,-120.47,-217.37,190.52,7.77,0.65,1.58,-126.25,-25.71,-5.56
6.95,1.83,2.46,-160.12,-126.63,176.08,9.15,1.68,1.71,-136.49,-17.9,-2.98
8.25,0.63,2.2,-206.11,24.1,128.69,10.87,2.29,1.66,-143.21,-16.98,-13.11
3.58,2.21,-0.96,-250.14,137.05,99.6,11.0,2.48,1.78,-142.83,-15.97,-17.1
-0.34,1.41,-6.04,-250.14,140.68,54.8,10.78,2.45,1.61,-144.01,-12.82,-8.64
-0.23,1.42,-11.8,-250.14,10.47,11.63,10.32,1.34,1.45,-142.27,-8.36,-2.88
3.35,2.36,-16.06,-250.14,-52.53,6.4,9.14,0.67,1.2,-148.82,-4.88,-1.98
6.01,3.42,-18.21,-250.14,2.5,-16.57,8.54,-0.23,1.06,-152.82,0.86,0.79
8.71,0.72,-19.62,-250.14,57.06,-74.35,8.41,-0.4,1.84,-158.53,11.41,-2.04
9.56,3.42,-19.62,-250.14,46.39,-92.28,9.5,-0.63,1.9,-171.12,14.67,-8.72
12.7,4.64,-19.62,-250.14,59.5,-104.02,9.97,-0.44,1.94,-179.14,15.47,-13.31
12.31,0.95,-19.62,-250.14,66.8,-126.42,9.2,-0.28,2.98,-178.93,20.34,-11.89
11.84,0.27,-19.62,-241.11,-30.78,-131.26,8.93,0.26,3.25,-183.89,22.38,-12.28
13.89,1.15,-19.62,-227.1,-121.38,-106.34,9.51,0.31,2.93,-189.34,23.55,-16.57
16.28,0.55,-18.72,-189.37,-121.22,-53.62,9.84,0.19,2.1,-185.45,26.13,-20.95
14.94,-0.75,-15.25,-129.27,-55.51,-16.13,9.42,0.69,2.46,-181.35,22.66,-25.5
11.88,-1.41,-12.68,-98.56,-25.77,-8.39,9.41,1.14,2.37,-185.09,21.11,-31.18
10.86,-0.94,-10.77,-98.76,-41.73,-0.31,9.49,1.02,2.19,-186.07,19.46,-36.95
10.87,-0.79,-9.34,-109.75,-48.58,27.77,9.51,1.14,1.9,-182.05,16.28,-43.79
11.41,-0.89,-7.96,-112.96,-34.15,68.04,10.11,1.71,2.45,-169.44,13.53,-48.08
12.48,-0.88,-8.39,-119.71,2.13,122.59,10.49,1.28,2.15,-155.85,8.95,-43.41
10.98,3.25,-7.81,-142.09,-56.02,112.29,10.0,1.46,2.27,-143.62,11.08,-36.3
7.99,0.84,-7.08,-158.03,-87.86,104.4,9.34,0.89,2.34,-132.04,4.18,-31.27
6.9,0.72,-6.53,-152.46,-82.09,113.5,9.53,0.95,2.01,-121.89,-5.46,-28.34
4.83,1.39,-7.81,-134.28,-85.12,124.63,10.33,1.25,1.53,-109.73,-12.36,-22.05
3.96,1.37,-7.48,-125.57,-104.07,120.57,10.12,1.84,1.19,-99.21,-15.97,-20.23
3.58,1.73,-7.43,-118.85,-119.63,105.93,9.03,2.04,0.35,-86.66,-17.07,-22.63
3.55,1.84,-7.6,-111.02,-117.15,90.23,7.2,2.52,0.58,-70.37,-15.5,-20.17
